"Breed","BreedEntity","StrangerDirectedAggression","OwnerDirectedAggression","DogDirectedAggression","StrangerDirectedFear","DogDirectedFear","NonsocialFear","DogRivalry","Trainability","Chasing","AttachmentAttentionSeeking","SeparationRelatedBehavior","TouchSensitivity","Excitability","EnergyLevel"
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1,0,1.75,0.5,0,0,0.25,3.125,3.75,1.6666666667,0.375,0,2.6,2.5
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0,0.125,"Missing[""NotAvailable""]",0,1.25,0.1666666667,0.5,2.375,1,2.1666666667,0.25,2,2.3333333333,4
"Yorkshire Terrier","Entity[""DogBreed"", ""YorkshireTerrier""]",0.2,0,"Missing[""NotAvailable""]",0,0.6666666667,0,1.3333333333,2.2857142857,3.75,2,0.75,1,1.1666666667,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,0,3,0.25,0,0.25,2.75,1.6666666667,1.4,1,1,2.8333333333,1
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.3,0,0.5,0,1,0,0.5,3,3.3333333333,2,0.25,0,1.8333333333,2
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.3,0,0.5,0,1.25,0.1666666667,1,2.625,2.75,1.5,0.25,0,1,1
"Rat Terrier","Entity[""DogBreed"", ""RatTerrier""]",2.6,0,2.6666666667,4,"Missing[""NotAvailable""]",2.8333333333,0,2.25,3.25,2.3333333333,0,0.75,2.5,2.5
"Pembroke Welsh Corgi","Entity[""DogBreed"", ""PembrokeWelshCorgi""]",0.7,0,0.75,0,0.25,1.1666666667,0.5,3.5,2.25,2.3333333333,0.125,1.25,2,2.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.4,0,0,0,1.3333333333,0.6666666667,0.25,2.625,3.25,1.6666666667,0.25,0.25,2.6666666667,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1,0,1.25,1.75,1.25,1.1666666667,0,2.75,3.25,3,1.875,0,2.3333333333,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0.125,2.75,0,0,1,1,2.125,1.5,0.8333333333,0,1,0.8333333333,1
"English Setter","Entity[""DogBreed"", ""EnglishSetter""]",0.1,0,0,0.75,1.75,0.1666666667,"Missing[""NotAvailable""]",2.375,2.25,1.8333333333,0.625,0.5,1,2
"Redbone Coonhound","Entity[""DogBreed"", ""RedboneCoonhound""]","Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",1.5,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",1.625,3.3333333333,"Missing[""NotAvailable""]",1.375,1,4,4
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",0,0,0.25,0,0.5,0.5,"Missing[""NotAvailable""]",2.7142857143,2.75,1.1666666667,1.8333333333,0,2.5,3.5
"Akita","Entity[""DogBreed"", ""Akita""]",1.4,0,1.5,0.5,0,0.8333333333,0.5,2.2857142857,2.5,2.5,1.125,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",3
"Mastiff (English)","Entity[""DogBreed"", ""Mastiff""]",0.6,0,0.5,1.5,1.25,0.8333333333,1.75,2.375,1.25,1.6666666667,0.125,0.5,2,0.5
"Mastiff (English)","Entity[""DogBreed"", ""Mastiff""]",1.7777777778,0,3,2,2,1.3333333333,2.5,2.125,1.75,2.6666666667,0,0.25,2.3333333333,1
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.8,0.125,3.25,0,0.75,0.3333333333,2.75,3.75,3.25,2.6666666667,0.25,0.75,1.8333333333,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.6,0,1,2.25,1.75,0.3333333333,1,2.5,3.25,2.1666666667,0,0.5,0.8333333333,1.5
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]","Missing[""NotAvailable""]",0,2.5,0,0,0.1666666667,"Missing[""NotAvailable""]",2.375,2.5,2.3333333333,0.625,0.5,3,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0,0,0,0.25,0,0.5,3.75,0.5,1.6666666667,0,0,3,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4,0,0.75,0,1,0,0,3.25,0,1.8333333333,0.75,0,2.1666666667,3
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",1.8,0,1.75,2,2,0.5,0.75,2.75,3.25,2,0.125,0,2.6666666667,2
"Chihuahua","Entity[""DogBreed"", ""Chihuahua""]",0.2222222222,0.25,"Missing[""NotAvailable""]",1.5,"Missing[""NotAvailable""]",2.6666666667,"Missing[""NotAvailable""]",1.625,"Missing[""NotAvailable""]",2.6,2,3.75,3.1666666667,3.5
"Cavalier King Charles Spaniel","Entity[""DogBreed"", ""CavalierKingCharlesSpaniel""]",1.9,1.25,1,2.5,1.75,1.3333333333,0.5,2.375,0,2.5,0.25,0.25,3,1
"Bichon Frise","Entity[""DogBreed"", ""BichonFrise""]",1.2,0.5714285714,0,3,0,0,0,3.1428571429,1.75,1.8333333333,0.5,0.75,4,4
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.8,0,1.5,1.25,3.5,2.5,0.25,1.2857142857,0,2.8333333333,2.125,0.5,3.8333333333,1.5
"Welsh Terrier","Entity[""DogBreed"", ""WelshTerrier""]",0,1.5,0.5,0,0.5,0,2.5,3,0.75,1.1666666667,0,0,1,2.5
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.1,0,0.25,0,0,0.6666666667,"Missing[""NotAvailable""]",3.125,1.25,0.8333333333,0.375,0,1,3
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0.5,0.125,1.75,0,0.5,0.3333333333,2.25,2.75,3.25,2.6666666667,0.125,0.5,2.5,3
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",0.9,0,1.5,0,0,1,0.5,3.375,2.75,2.6666666667,1.125,0.5,0.5,2
"Old English Sheepdog","Entity[""DogBreed"", ""OldEnglishSheepdog""]",1.7,0,2.6666666667,0,0,1.3333333333,2.5,1.25,3,2.6666666667,1.875,1.25,3.3333333333,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,0,0,0.5,0.1666666667,0,3.125,2.25,1.5,0.375,0,2.1666666667,0
"Brittany","Entity[""DogBreed"", ""Brittany""]",1,0.5,1.25,0.75,1,0.8333333333,0.75,2.875,4,2,1.5,1.25,2.3333333333,3
"Dalmatian","Entity[""DogBreed"", ""Dalmatian""]",1.8,0,1.75,1.5,0,1.6666666667,0,2.875,3.75,2.1666666667,0,1.5,2.1666666667,2
"Dalmatian","Entity[""DogBreed"", ""Dalmatian""]",2,0.125,2.25,0,0.25,0.3333333333,0.75,2.5714285714,3.75,2.3333333333,0,0.25,2.1666666667,2
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]",0.8,0.125,1,0,0,0.8333333333,0.5,2.625,0,2.3333333333,0.125,0.25,2.5,0
"Italian Greyhound","Entity[""DogBreed"", ""ItalianGreyhound""]",0,0,0,0,0,0,0,3.125,1.25,1.3333333333,0,0.5,1.5,0
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0,0,0.5,0,0,0.3333333333,0,2.625,3.25,2.6666666667,0.25,0,2,3
"Chihuahua","Entity[""DogBreed"", ""Chihuahua""]",1.2,1.625,1.3333333333,2,"Missing[""NotAvailable""]",0.6,2.5,0.5714285714,3.5,0.8333333333,0.875,1.5,2.5,1
"Bichon Frise","Entity[""DogBreed"", ""BichonFrise""]",1.3333333333,1.125,1,1.75,1.5,2.5,0,1.7142857143,3,3.5,2.25,2,2.8333333333,2.5
"German Shorthaired Pointer","Entity[""DogBreed"", ""GermanShorthairedPointer""]",0.5,0,1.25,2,1.5,2.8333333333,0.25,2.875,2.75,1.6666666667,0.25,0.25,2.1666666667,1
"Chihuahua","Entity[""DogBreed"", ""Chihuahua""]",3,0.125,3,3.5,3.75,2.8333333333,0,2.75,1.75,2.5,1.375,0.75,3,2.5
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",0,0,0,0,0.5,0,0,3.2857142857,2,1.8333333333,0,0.25,1.3333333333,2
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0.4,0,0.25,0.25,0.75,1,0,1.375,2,2.5,0.375,2.25,2.8333333333,1.5
"Shih Tzu","Entity[""DogBreed"", ""ShihTzu""]",0.3,0.375,0.75,0,0.5,0,1,2.375,1,1.5,0.625,0,1.8333333333,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",2.7,0.75,2.25,0,0,0.6666666667,1.25,2.375,2,4,1.875,0.75,4,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0.75,0,1,0.1666666667,0.25,3,1,4,0.75,0.25,3.5,4
"Irish Setter","Entity[""DogBreed"", ""IrishSetter""]",0.2222222222,0.125,1.25,0,0.25,1.1666666667,0.75,2.5,3.5,1.6666666667,0.25,0.75,1,2
"English Setter","Entity[""DogBreed"", ""EnglishSetter""]",0.4,0.125,0,1.25,3.25,1.5,1.25,1.25,3.5,1.1666666667,0.125,1.25,0.5,2.5
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0.2,0.125,0.75,0,0,0.6666666667,0,2.7142857143,4,1.6666666667,1.75,0.75,2.1666666667,2
"Borzoi","Entity[""DogBreed"", ""Borzoi""]",0.2,0,1,0,1,0.6666666667,0.25,1.875,1.5,1.8333333333,0.875,0,1.1666666667,3
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",0.4,0.125,2.75,2,0,0.8333333333,1,1.875,3,1.5,0,2.75,2.5,2.5
"Vizsla","Entity[""DogBreed"", ""Vizsla""]",0.4444444444,0.125,1.75,0.25,1,1.1666666667,0.25,2.7142857143,0.75,2.1666666667,1.25,2.25,2.5,0.5
"Cocker Spaniel (American)","Entity[""DogBreed"", ""CockerSpaniel""]",0.2,0.5,2,0,3.3333333333,0.3333333333,"Missing[""NotAvailable""]",3.4285714286,4,3.5,0.75,2,3,2
"Cocker Spaniel (American)","Entity[""DogBreed"", ""CockerSpaniel""]",0.4,0.375,1.25,1.75,0.75,1,0.5,1.5,0.5,1,0,0.5,0,0
"Boxer","Entity[""DogBreed"", ""Boxer""]",0.2,0,2.75,1,"Missing[""NotAvailable""]",2,0,2.75,3.5,2.3333333333,0.25,0.6666666667,2,3
"Boxer","Entity[""DogBreed"", ""Boxer""]",0,0,0,1.25,2,2,0,3,2.5,3.4,2,2,1.6666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4,0,1,0,1,0.3333333333,0,2.75,2.25,2,0.125,0,2,2
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0.7,0,0.5,0,0.75,0.5,0.5,3.125,3,1.6666666667,0.375,0,2.1666666667,1.5
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",1.2,0,0.25,2.25,0.5,1.8333333333,0,3.5,2.75,1.6666666667,0,0.25,1.8333333333,1
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.2,0,2.25,0,1.75,1.1666666667,0,3,2.75,1.5,0.5,0,3,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0,0,0,0,0.5,2.5,2,2.4,0.25,0,2.1666666667,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1,0,0.75,1,0,0.5,0,2.875,2.5,1.5,0,0,2.3333333333,2.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0,0,0.25,0,0,0,0.5,2.875,3.25,1.5,0,0,1.6666666667,1.5
"Portuguese Water Dog","Entity[""DogBreed"", ""PortugueseWaterDog""]",0.3,0,1.25,1.5,1,2.3333333333,2.5,2.875,2.75,2.5,0.125,0,3,2
"Bernese Mountain Dog","Entity[""DogBreed"", ""BerneseMountainDog""]",0,0,0,0,0.25,0,0,2.875,2.75,2.3333333333,0,0,3,2
"Collie","Entity[""DogBreed"", ""Collie""]","Missing[""NotAvailable""]",0,1.75,3,0,1.8333333333,0.6666666667,1,3.5,0.8333333333,0,0,2,3
"Collie","Entity[""DogBreed"", ""Collie""]",0.2,0,2,0,0,0,2,2.6666666667,1,2,1.25,0,1.8333333333,0
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",0,0.875,1,0,0.25,0.3333333333,2.5,2.375,2.5,0.8333333333,0.125,1.5,2.8333333333,1.5
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",0.8888888889,0,1,0,0,0.1666666667,0.25,2.875,2,2.5,0.5,0,2.3333333333,3
"Shih Tzu","Entity[""DogBreed"", ""ShihTzu""]",0,0,0.5,0,0,0.1666666667,0.75,1.25,1,0.3333333333,0.375,0.5,2,3.5
"German Shorthaired Pointer","Entity[""DogBreed"", ""GermanShorthairedPointer""]",0.7,0,0.5,0.25,1,0.1666666667,0.25,2.25,3.75,1.6666666667,0,0,1.1666666667,1.5
"Bouvier des Flandres","Entity[""DogBreed"", ""BouvierdesFlandres""]",0.8,0,0.25,0,0.75,0.1666666667,0,2.125,2.75,1,0,0,1,0
"Cocker Spaniel (English)","Entity[""DogBreed"", ""EnglishCockerSpaniel""]",0,0.25,0.25,0,0.25,0,0.25,1.75,1,"Missing[""NotAvailable""]",0.25,0.75,2.1666666667,1
"Cocker Spaniel (English)","Entity[""DogBreed"", ""EnglishCockerSpaniel""]",0,0.375,1.5,0,1,0,1,2.125,2.75,1.8,0.5,1,2.5,2
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",0,0,0,0,0,0,0,1.75,1.5,4,2.375,0,3.1666666667,3
"Collie","Entity[""DogBreed"", ""Collie""]",0,0,0,0,0,0,0,3.1666666667,0.6666666667,1.5,0.625,0,1.3333333333,3
"Border Terrier","Entity[""DogBreed"", ""BorderTerrier""]",1.2,0,1.25,2,1,0.3333333333,0,2.875,3.75,2.3333333333,0.375,0.75,2.8333333333,3
"Wirehaired Pointing Griffon","Entity[""DogBreed"", ""WirehairedPointingGriffon""]",0.1,0,0.25,0,0.5,0.3333333333,0.5,2.125,2.25,1.6666666667,0.125,0.25,2.5,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0,0,1,0,3,0,2.25,3,2.1666666667,0.75,0.25,2.6666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.3,0.125,0.75,0,0.5,0.3333333333,"Missing[""NotAvailable""]",2.625,3.25,3,1.625,0,3.8333333333,2.5
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",1.3,0,0.5,3.25,0,3.6666666667,0.5,2.625,3.3333333333,2.5,1.3333333333,0.5,2.6666666667,3
"American Eskimo Dog","Entity[""DogBreed"", ""AmericanEskimo""]",3.125,3.4285714286,3.5,2.75,4,3.4,3.6666666667,1.8333333333,3.5,3.8,3.3333333333,4,"Missing[""NotAvailable""]","Missing[""NotAvailable""]"
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",1.1111111111,0.125,0.6666666667,0,"Missing[""NotAvailable""]",0.8333333333,"Missing[""NotAvailable""]",1.5,3.5,2.4,"Missing[""NotAvailable""]",0,2.2,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.7,0,"Missing[""NotAvailable""]",0.75,"Missing[""NotAvailable""]",1.6666666667,0,3,3,3,1.1428571429,0.5,2.6,3
"Papillon","Entity[""DogBreed"", ""Papillon""]",0,0.2857142857,"Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",0.3333333333,0.3333333333,3.1428571429,2,1.5,0.5,1.5,1.3333333333,2
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.2222222222,0,0,0,0.3333333333,0.8333333333,"Missing[""NotAvailable""]",3.125,2.75,1.5,0,1,1.6666666667,3
"Boxer","Entity[""DogBreed"", ""Boxer""]",0.1111111111,0,0.25,0.25,0,1.3333333333,0,2.625,1,2,0.25,0,2.6666666667,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0,0.75,0,0,0,0.5,3.125,1,1.5,0,0.5,1.6666666667,1.5
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0.5555555556,0,2.75,0.3333333333,0,0.5,3,2.375,3.25,3.4,1.875,1,"Missing[""NotAvailable""]",3
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0.5,0,3.25,0,0,0,1.5,2.625,0.25,2,1.25,0,"Missing[""NotAvailable""]",1.5
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0.5,0,2,3,0.5,3.3333333333,3.5,2.7142857143,3.75,1.3333333333,0.5,0.25,2.8333333333,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.4,0.125,2.5,0.75,4,0.4,2.75,2.625,2.75,1.6666666667,0.25,0.25,2.1666666667,1
"Portuguese Water Dog","Entity[""DogBreed"", ""PortugueseWaterDog""]",2.1111111111,1.25,1.75,0,0.5,0.1666666667,1.75,2.875,2.75,3.3333333333,1.25,0,2.8333333333,2
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",2.4,0,3,4,2.75,0.6666666667,3,3.375,1,4,3.25,1,3,3
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",1.625,0,"Missing[""NotAvailable""]",1,0.5,0.6666666667,0.5,2.5,3.25,1.5,0,2.75,1.8333333333,0
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0,0.125,2.25,0,0,0.2,0.5,2.125,"Missing[""NotAvailable""]",2.5,0.875,0,1.8333333333,4
"Bernese Mountain Dog","Entity[""DogBreed"", ""BerneseMountainDog""]",0,0,0,0,0,0.8333333333,0,2.875,1,2.1666666667,0.125,"Missing[""NotAvailable""]",2.3333333333,1.5
"English Setter","Entity[""DogBreed"", ""EnglishSetter""]",0,0,0,0,0,0,0,2.5714285714,2.25,2.5,0,0,2.8333333333,3
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0,0,0,0,0,0.3333333333,0.5,3.5,1,1.5,0,0.5,2.5,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",3.2,1,3.5,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",2,1.375,2.5,3.1666666667,0.5,"Missing[""NotAvailable""]",3,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0,2.25,0,0,1.8333333333,0.75,2.375,2,1.5,0.125,0.25,1,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.2,0,2.5,0.25,0,0.6666666667,0.25,2.5,3,2.3333333333,1.875,2.75,3.8333333333,2
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",0.7,0.125,1,0.5,0.75,0.5,0.5,3,1.5,2.3333333333,0.125,1,1.6666666667,2
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",0,0,0.25,0,0,0.5,0,3,3,1.1666666667,0.25,0,2.3333333333,2
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",1.4,0,1.5,1.25,0.5,0.3333333333,0.5,3,2,1.5,0.125,0.5,2.1666666667,2.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0.4,0.75,0.25,0.25,0.5,1.8333333333,0.25,2.5,3,1.5,0.75,1.5,1.3333333333,2.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0.6,0.25,0,0.5,0,2.3333333333,1,1.875,2,1.6666666667,0.625,3,2.6,2.5
"Border Terrier","Entity[""DogBreed"", ""BorderTerrier""]",0.9,0,3.75,1,0.5,0.6666666667,0.25,2.625,3.5,1,0.625,1.25,3.1666666667,1.5
"Shiba Inu","Entity[""DogBreed"", ""ShibaInu""]",0.6,0,1.5,0.75,0,0.4,"Missing[""NotAvailable""]",2.5,2.75,0.8333333333,0.125,1,1.3333333333,2
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.2,0,2,0,2.5,0.6666666667,1,2.875,2.5,1.6666666667,0.125,0,1,3
"Siberian Husky","Entity[""DogBreed"", ""SiberianHusky""]",0,0,0.5,0,0.25,0.1666666667,0.25,2,3,1.5,0,0,2.6666666667,2
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0,0.3333333333,0,3.125,0.25,1.8333333333,0,0,2.3333333333,1
"Weimaraner","Entity[""DogBreed"", ""Weimaraner""]",0.6,0.125,0.5,0,0.6666666667,1.4,0.25,2.8571428571,2.25,1.6666666667,0.375,0.5,1.6666666667,1
"Weimaraner","Entity[""DogBreed"", ""Weimaraner""]",1.125,0.375,2,2.3333333333,0.5,"Missing[""NotAvailable""]",0.25,1.75,4,2.8333333333,0.375,0.5,1,1.5
"Weimaraner","Entity[""DogBreed"", ""Weimaraner""]",0.3333333333,0.25,0.25,1.3333333333,1.5,3,0.25,2.8571428571,4,3,1.25,1,2,1
"Weimaraner","Entity[""DogBreed"", ""Weimaraner""]",1.1111111111,0.125,3.25,0,2,0.2,1.5,1,3.75,0.6666666667,0.25,0,1.1666666667,2.5
"Weimaraner","Entity[""DogBreed"", ""Weimaraner""]",0.7,0,0.75,0,1.25,0.4,0,2.5714285714,2.5,1,0.25,0,1,2
"Bracco Italiano","Entity[""DogBreed"", ""BraccoItaliano""]",0.4,0,0.75,0,0.75,0.3333333333,0.25,3.1428571429,2,1.1666666667,1.125,0.5,0.3333333333,1.5
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]",1.8,0.5,2.25,0.75,0,0,"Missing[""NotAvailable""]",3.25,1.75,1.8,1.125,1.75,2.1666666667,2
"Fox Terrier (Smooth)","Entity[""DogBreed"", ""FoxTerrierSmooth""]",0.2,0,2,0.5,0.5,0.5,1.25,2,1.75,2.5,2.125,1.5,3.5,3
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.2,0,1,0,1,1.3333333333,0.5,3.625,0.5,2.1666666667,0,0,2.2,4
"Pomeranian","Entity[""DogBreed"", ""Pomeranian""]",0.4,0,0,0,0,0,0,3.25,1,1.1666666667,0.375,0.25,2.3333333333,2
"Pomeranian","Entity[""DogBreed"", ""Pomeranian""]",0.9,0.125,1,0.5,0.75,0.3333333333,0.75,3,2.5,2.1666666667,0.375,1,1.8333333333,1.5
"Great Dane","Entity[""DogBreed"", ""GreatDane""]",0.5,0,0,0.5,0.6666666667,0.6666666667,0,2.625,2.5,1.5,0.25,0,1.3333333333,0.5
"Dachshund","Entity[""DogBreed"", ""Dachshund""]",0.7,0.125,1.25,0.75,0,0.5,0,3.25,1.25,2.3333333333,0,1.25,2,2.5
"Alaskan Husky","Missing[""NotAvailable""]",0,0,1,0,0.25,0,1.25,2.75,1.25,1.1666666667,0,0.5,2,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",2.4,0,4,3,3,2,0,2.25,4,4,2.25,2.25,4,4
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.1,0,3,0,4,0.3333333333,0.25,1.625,1.75,3,0,0,2.1666666667,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.8,0.625,1.25,0,0.3333333333,0.8333333333,0.5,2.625,2,1.6666666667,0.125,0.75,3.3333333333,2.5
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",1.8888888889,1.25,3.5,3.75,2,0.3333333333,2.25,3.125,1,2.6666666667,0.125,1,1.8333333333,0
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]",0.7,0.125,0.25,0,1,1.1666666667,0,3.375,3.5,3,0.5,1,2.1666666667,2.5
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0,0.25,0.25,0,1.75,1.3333333333,1,2.75,2.5,1.6666666667,0.375,0.75,1.8333333333,2
"Mastiff (English)","Entity[""DogBreed"", ""Mastiff""]",0.1,0,0.25,0,0,0.5,0,3.125,1,2.8333333333,0.125,0.25,1.6666666667,1.5
"Chinese Shar-Pei","Entity[""DogBreed"", ""ChineseSharPei""]",1.5,0,2.5,2,0,0.6,"Missing[""NotAvailable""]",1.75,2.75,3.2,0.125,3.25,2,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0,0,0.75,1,0.5,2.5,2.3333333333,2.8333333333,2.25,0.75,3.5,3.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.3,0,0.75,0,0.5,0.5,"Missing[""NotAvailable""]",3.25,2.5,1.8333333333,0,0.75,2.5,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.3,0,0,0.5,0.25,0.6666666667,0,3.125,2.25,2.3333333333,1.25,0,2,2.5
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.3,0,0,0,0,0,"Missing[""NotAvailable""]",3.25,1.6666666667,1.6666666667,0.125,0,1.8333333333,2
"Collie","Entity[""DogBreed"", ""Collie""]",0,0,0,0,0,0,0,2.75,0,0,0,0.25,2.1666666667,0
"Collie","Entity[""DogBreed"", ""Collie""]",0,0,0,0,0,0,0,3.625,1.5,1.1666666667,0,0,0.5,0.5
"Collie","Entity[""DogBreed"", ""Collie""]",0,0,0,0,0,0,0,3.375,0,1.1666666667,0,0,0.3333333333,0
"Collie","Entity[""DogBreed"", ""Collie""]",0,0,0,0,0,0.8333333333,0,3.625,0.75,0.3333333333,0,0,0.1666666667,0
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0.8,0,1.25,0.5,1,1,"Missing[""NotAvailable""]",3,2,3.1666666667,0.75,1.25,1.3333333333,2
"Cocker Spaniel (American)","Entity[""DogBreed"", ""CockerSpaniel""]",0.5555555556,0.625,1.75,2,1.75,1.3333333333,0,2.625,3,3.2,0.375,1.25,2.5,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.2,0,"Missing[""NotAvailable""]",0,0.5,0.6666666667,0.5,3.2857142857,2.25,2,0.5,0.5,2,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.7,0.125,0.75,0,0.25,0.3333333333,1.75,2.7142857143,4,1.8333333333,1,0,2.1666666667,3.5
"Maltese","Entity[""DogBreed"", ""Maltese""]",0,0,0,1,1,0.8333333333,1,3.5714285714,0.25,2.1666666667,0,0.25,0.6666666667,2
"Maltese","Entity[""DogBreed"", ""Maltese""]",0,0.2857142857,0,0,0.25,0.5,0,2.75,"Missing[""NotAvailable""]",2.3333333333,0.375,0.25,2.5,2
"Maltese","Entity[""DogBreed"", ""Maltese""]",0.6,0,0,0,0,0.1666666667,1,2.5714285714,0.75,1.5,0.125,0,2.1666666667,1
"Maltese","Entity[""DogBreed"", ""Maltese""]",2.8888888889,0,"Missing[""NotAvailable""]",2,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",2.3333333333,0.125,0,"Missing[""NotAvailable""]",1
"Shetland Sheepdog","Entity[""DogBreed"", ""ShetlandSheepdog""]",0,0,0,0,0,0,0.5,3,0,1.5,0,0,2.1666666667,0.5
"Silky Terrier","Entity[""DogBreed"", ""SilkyTerrier""]",0,0,0,1.25,1.25,3.6666666667,0,0.6666666667,0,1.1666666667,1.5,0.5,1.6666666667,1.5
"Silky Terrier","Entity[""DogBreed"", ""SilkyTerrier""]",3.8,0,2.25,4,0,1,0,2.625,3.5,1,1,1.5,3.3333333333,1
